emoji,unicode,aliases_all
💀,💀,"tengkorak, dongeng, mati, mayat, monster, muka, wajah"
☠️,☠️,"tengkorak, dan, tulang, kematian, monster, wajah"
💩,💩,"kotoran, muka, tahi, tinja, wajah"
🤡,🤡,"badut, konyol, lucu, muka, wajah"
👹,👹,"wajah, monster, dongeng, fantasi, makhluk"
👺,👺,"topeng, hidung, panjang, fantasi, khayalan, makhluk, monster, wajah"
👻,👻,"hantu, arwah, dongeng, fantasi, monster, muka, wajah"
👽,👽,"alien, ekstraterestrial, fantasi, makhluk, ufo, wajah"
👾,👾,"monster, alien, ekstraterestrial, makhluk, ufo, wajah"
🤖,🤖,"robot, monster, muka, wajah"
😺,😺,"wajah, kucing, tersenyum, lebar, muka, mulut, senyum, terbuka"
😸,😸,"wajah, kucing, gembira, dengan, mata, bahagia, muka, senyum, seringai"
😹,😹,"wajah, kucing, gembira, berurai, air, mata, bahagia, muka, senang"
😻,😻,"wajah, kucing, gembira, bermata, hati, cinta, mata, muka, senyum"
😼,😼,"wajah, kucing, tersenyum, sombong, ejek, muka, senyum, sinis"
😽,😽,"wajah, kucing, memberikan, ciuman, dengan, mata, tertutup, cium, muka"
🙀,🙀,"wajah, kucing, ketakutan, kaget, lelah, muka, oh, takut"
😿,😿,"wajah, kucing, menangis, air, mata, muka, nangis, sedih"
😾,😾,"wajah, kucing, marah, muka"
🙈,🙈,"tidak, melihat, dilarang, jahat, lihat, monyet, wajah"
🙉,🙉,"tidak, mendengar, dengar, dilarang, jahat, monyet, wajah"
🙊,🙊,"tidak, bicara, dilarang, jahat, monyet, berbicara, wajah"
💋,💋,"tanda, ciuman, bibir, cium, hati, romantis"
💌,💌,"surat, cinta, hati, romantis"
💘,💘,"hati, terpanah, asmara, panah, romantis"
💝,💝,"hati, berpita, pita, valentine"
💖,💖,"hati, bersinar, bahagia"
💗,💗,"hati, membesar, deg, detak, gembira, gugup, jantung"
💓,💓,"hati, berdetak, denyut, detak, jantung"
💞,💞,hati_berputar
💕,💕,"dua, hati, cinta"
💟,💟,dekorasi_hati
❣️,❣️,tanda_seru_berbentuk_hati
💔,💔,"patah, hati, putus"
❤️‍🔥,❤️‍🔥,hati_berapi-api
❤️‍🩹,❤️‍🩹,mengobati_hati_terluka
❤️,❤️,hati_merah
🧡,🧡,hati_oranye
💛,💛,hati_kuning
💚,💚,hati_hijau
💙,💙,hati_biru
💜,💜,hati_ungu
🤎,🤎,hati_cokelat
🖤,🖤,"hati, hitam, jahat, kejam"
🤍,🤍,hati_putih
💯,💯,"nilai, seratus, 100, lengkap, skor"
💢,💢,"marah, komik"
💥,💥,"tabrakan, komik, nabrak"
💫,💫,"pusing, bintang, komik"
💦,💦,"keringat, ciprat, komik"
💨,💨,"berlari, kabur, komik, lari"
🕳️,🕳️,"lubang, lobang"
💣,💣,"bom, komik"
💬,💬,"balon, ucapan, dialog, gelembung, komik"
👁️‍🗨️,👁️‍🗨️,mata_di_dalam_gelembung_ucapan
🗨️,🗨️,"gelembung, ucapan, kiri, dialog"
🗯️,🗯️,"gelembung, marah, kanan, balon"
💭,💭,"gelembung, pikiran, balon, komik, mikir, pikir"
💤,💤,"zzz, komik, tidur"
👋,👋,"tangan, melambai, badan, lambai, tubuh"
🤚,🤚,"angkat, tangan, berhenti, jangan, stop"
🖐️,🖐️,"telapak, tangan, terbuka, badan, jari, tos, tubuh"
✋,✋,"telapak, tangan, terbuka, dengan, jari, rapat, badan, tubuh"
🖖,🖖,"salam, vulcan, badan, jari, spock, tangan, tubuh"
👌,👌,"oke, badan, tangan, tubuh"
🤌,🤌,"jari, terkuncup, interogasi, isyarat, tangan, sarkastik"
🤏,🤏,"tangan, menjepit, sejumlah, kecil"
✌️,✌️,"isyarat, kemenangan, badan, jari, menang, tangan, tubuh"
🤞,🤞,"jari, menyilang, beruntung, semoga, hoki, silang"
🤟,🤟,"gerakan, sayang, kamu, ilu, ily, tangan"
🤘,🤘,"lambang, tanduk, badan, jari, tangan, tubuh"
🤙,🤙,"panggil, saya, telepon, aku"
👈,👈,"menunjuk, ke, arah, kiri, badan, jari, tangan, telunjuk, tubuh, tunjuk"
👉,👉,"menunjuk, ke, arah, kanan, badan, jari, tangan, telunjuk, tubuh, tunjuk"
👆,👆,"menunjuk, ke, atas, dibalik, badan, jari, tangan, telunjuk, tubuh, tunjuk"
🖕,🖕,"jari, tengah, tangan"
👇,👇,"menunjuk, ke, bawah, badan, jari, tangan, tengah, tubuh, tunjuk"
☝️,☝️,"menunjuk, ke, atas, badan, jari, tangan, telunjuk, tubuh, tunjuk"
👍,👍,"jempol, ke, atas, +1, badan, tangan, tubuh"
👎,👎,"jempol, ke, bawah, -1, badan, tangan, tubuh"
✊,✊,"tangan, terkepal, ke, atas, badan, kepal, tinju, tubuh"
👊,👊,"tangan, terkepal, ke, depan, badan, kepal, tinju, tonjok, tubuh"
🤛,🤛,"tinju, kiri, kepalan, tangan, tonjok"
🤜,🤜,"tinju, kanan, kepalan, tangan, tonjok"
👏,👏,"tepuk, tangan, badan, tubuh"
🙌,🙌,"mengangkat, tangan, angkat, gerakan, hore, perayaan"
👐,👐,"tangan, terbuka, badan, tubuh"
🤲,🤲,"tangan, diangkat, dan, dirapatkan, bersama, berdoa, doa"
🤝,🤝,"jabat, tangan, salaman, sepakat, setuju"
🙏,🙏,"melipat, tangan, berdoa, bungkuk, gerakan, lipat, makasih, mohon, tolong, tubuh"
✍️,✍️,"tangan, menulis, badan, nulis, tubuh, tulis"
💅,💅,"poles, kuku, cat, kosmetik, manikur, perawatan"
🤳,🤳,"selfie, foto, kamera, ponsel, selfi"
💪,💪,"lengan, berotot, badan, biseps, otot, tubuh"
🦾,🦾,"lengan, robot, aksesibilitas, prostetik"
🦿,🦿,"tungkai, robot, aksesibilitas, prostetik"
🦵,🦵,"tungkai, bagian, tubuh, tendang"
🦶,🦶,"telapak, kaki, injak, tendang"
👂,👂,"telinga, badan, tubuh"
🦻,🦻,"telinga, dengan, alat, bantu, dengar, aksesibilitas, sulit, mendengar, tuli, tunarungu"
👃,👃,"hidung, badan, tubuh"
🧠,🧠,"otak, cerdas, genius, kecerdasan, pintar"
🫀,🫀,"organ, jantung, detak, kardiologi, nadi, tengah"
🫁,🫁,"paru-paru, ekshalasi, inhalasi, napas, organ, respirasi"
🦷,🦷,"gigi, dokter"
🦴,🦴,"tulang, belulang"
👀,👀,"dua, mata, badan, muka, tubuh, wajah"
👁️,👁️,"satu, mata, badan, tubuh"
👅,👅,"lidah, badan, tubuh"
👄,👄,"mulut, badan, bibir, tubuh"
👶,👶,"bayi, muda"
🧒,🧒,"anak, gender, tak, tentu, muda, netral"
👦,👦,"anak, laki-laki, muda"
👧,👧,"anak, perempuan, muda, virgo, zodiak"
🧑,🧑,"dewasa, gender, tak, tentu, netral, orang"
👱,👱,"orang, rambut, pirang, berambut"
👨,👨,"pria, orang, dewasa"
🧔,🧔,orang_janggut
🧔‍♂️,🧔‍♂️,pria_janggut
🧔‍♀️,🧔‍♀️,wanita_janggut
👨‍🦰,👨‍🦰,"pria, rambut, merah, orang, dewasa"
👨‍🦱,👨‍🦱,"pria, rambut, keriting, orang, dewasa"
👨‍🦳,👨‍🦳,"pria, rambut, putih, orang, dewasa"
👨‍🦲,👨‍🦲,"pria, gundul, orang, dewasa"
👩,👩,"wanita, ibu, perempuan"
👩‍🦰,👩‍🦰,"wanita, rambut, merah, ibu, perempuan"
🧑‍🦰,🧑‍🦰,"dewasa, rambut, merah, gender, tak, tentu, netral, orang"
👩‍🦱,👩‍🦱,"wanita, rambut, keriting, ibu, perempuan"
🧑‍🦱,🧑‍🦱,"dewasa, rambut, keriting, gender, tak, tentu, netral, orang"
👩‍🦳,👩‍🦳,"wanita, rambut, putih, ibu, perempuan"
🧑‍🦳,🧑‍🦳,"dewasa, rambut, putih, gender, tak, tentu, netral, orang"
👩‍🦲,👩‍🦲,"wanita, gundul, ibu, perempuan"
🧑‍🦲,🧑‍🦲,"dewasa, gundul, gender, tak, tentu, netral, orang"
👱‍♀️,👱‍♀️,"wanita, berambut, pirang, perempuan, rambut"
👱‍♂️,👱‍♂️,"pria, berambut, pirang, laki-laki, rambut"
🧓,🧓,"lanjut, usia, netral, gender, tua"
👴,👴,"pria, tua, kakek, laki-laki"
👵,👵,"wanita, tua, nenek, perempuan"
🙍,🙍,"orang, marah, gerakan"
🙍‍♂️,🙍‍♂️,"pria, muka, tidak, senang, laki-laki"
🙍‍♀️,🙍‍♀️,"wanita, muka, tidak, senang, perempuan"
🙎,🙎,"orang, tidak, senang, cemberut, gerakan"
🙎‍♂️,🙎‍♂️,"pria, tidak, senang, bibir, laki-laki"
🙎‍♀️,🙎‍♀️,"wanita, tidak, senang, bibir, perempuan"
🙅,🙅,"orang, mengisyaratkan, tidak, dilarang, gerakan, nggak, tangan, terlarang"
🙅‍♂️,🙅‍♂️,"pria, mengisyaratkan, tidak, isyarat, laki-laki"
🙅‍♀️,🙅‍♀️,"wanita, mengisyaratkan, tidak, isyarat, perempuan, tangan"
🙆,🙆,"orang, mengisyaratkan, oke, gerakan, tangan"
🙆‍♂️,🙆‍♂️,"pria, mengisyaratkan, oke, isyarat, laki-laki, tangan"
🙆‍♀️,🙆‍♀️,"wanita, mengisyaratkan, oke, isyarat, perempuan, tangan"
💁,💁,"orang, menengadahkan, tangan, bantuan, informasi, resepsionis"
💁‍♂️,💁‍♂️,"pria, menengadahkan, tangan, bantuan, isyarat, laki-laki"
💁‍♀️,💁‍♀️,"wanita, menengadahkan, tangan, bantuan, isyarat, perempuan"
🙋,🙋,"orang, mengangkat, tangan, angkat, gerakan, senang"
🙋‍♂️,🙋‍♂️,"pria, mengangkat, tangan, angkat, isyarat, laki-laki"
🙋‍♀️,🙋‍♀️,"wanita, mengangkat, tangan, angkat, isyarat, perempuan"
🧏,🧏,"orang, tuli, aksesibilitas, dengar, kuping, telinga, tunarungu"
🧏‍♂️,🧏‍♂️,"pria, tuli, lelaki, tunarungu"
🧏‍♀️,🧏‍♀️,"wanita, tuli, perempuan, tunarungu"
🙇,🙇,"orang, membungkuk, bungkuk, gerakan, maaf, nunduk, sori, tunduk"
🙇‍♂️,🙇‍♂️,"pria, membungkuk, isyarat, laki-laki, maaf"
🙇‍♀️,🙇‍♀️,"wanita, membungkuk, isyarat, maaf, perempuan"
🤦,🤦,"orang, tepuk, jidat, cape, deh, capedeh, capek, yah"
🤦‍♂️,🤦‍♂️,"pria, tepuk, jidat, isyarat, laki-laki, tangan"
🤦‍♀️,🤦‍♀️,"wanita, tepuk, jidat, isyarat, perempuan, tangan"
🤷,🤷,"orang, mengangkat, bahu, bingung, entah, nggak, tahu, tidak"
🤷‍♂️,🤷‍♂️,"pria, mengangkat, bahu, angkat, isyarat, laki-laki"
🤷‍♀️,🤷‍♀️,"wanita, mengangkat, bahu, angkat, isyarat, perempuan"
🧑‍⚕️,🧑‍⚕️,"petugas, kesehatan, dokter, perawat, perawatan, terapis"
👨‍⚕️,👨‍⚕️,"pekerja, kesehatan, pria, dokter, laki-laki, perawatan"
👩‍⚕️,👩‍⚕️,"pekerja, kesehatan, wanita, dokter, perawatan, perempuan"
🧑‍🎓,🧑‍🎓,"murid, kelulusan"
👨‍🎓,👨‍🎓,"sarjana, pria, laki-laki, toga, universitas, wisuda"
👩‍🎓,👩‍🎓,"sarjana, wanita, perempuan, toga, universitas, wisuda"
🧑‍🏫,🧑‍🏫,"guru, dosen, instruktur"
👨‍🏫,👨‍🏫,"pengajar, pria, laki-laki, sekolah"
👩‍🏫,👩‍🏫,"pengajar, wanita, perempuan, sekolah"
🧑‍⚖️,🧑‍⚖️,"hakim, timbangan"
👨‍⚖️,👨‍⚖️,"hakim, pria, hukum, laki-laki, pengadilan"
👩‍⚖️,👩‍⚖️,"hakim, wanita, hukum, pengadilan, perempuan"
🧑‍🌾,🧑‍🌾,"petani, pekebun, peternak"
👨‍🌾,👨‍🌾,"petani, pria, laki-laki, padi, sawah"
👩‍🌾,👩‍🌾,"petani, wanita, padi, perempuan, sawah"
🧑‍🍳,🧑‍🍳,"koki, chef"
👨‍🍳,👨‍🍳,"koki, pria, dapur, laki-laki, memasak"
👩‍🍳,👩‍🍳,"koki, wanita, dapur, memasak, perempuan"
🧑‍🔧,🧑‍🔧,"mekanik, pekerja, terlatih, tukang, ledeng, listrik"
👨‍🔧,👨‍🔧,"montir, pria, laki-laki, perbaikan, tukang"
👩‍🔧,👩‍🔧,"montir, wanita, perbaikan, perempuan, tukang"
🧑‍🏭,🧑‍🏭,"pekerja, pabrik, industri, perakitan"
👨‍🏭,👨‍🏭,"pekerja, pabrik, pria, laki-laki"
👩‍🏭,👩‍🏭,"pekerja, pabrik, wanita, perempuan"
🧑‍💼,🧑‍💼,"pekerja, kantoran, arsitek, bisnis, kerah, putih, manajer"
👨‍💼,👨‍💼,"pekerja, kantor, pria, karyawan, laki-laki"
👩‍💼,👩‍💼,"pekerja, kantor, wanita, karyawan, perempuan"
🧑‍🔬,🧑‍🔬,"ilmuwan, ahli, biologi, fisika, kimia, insinyur"
👨‍🔬,👨‍🔬,"ilmuwan, pria, laboratorium, laki-laki, sains"
👩‍🔬,👩‍🔬,"ilmuwan, wanita, laboratorium, perempuan, sains"
🧑‍💻,🧑‍💻,"ahli, teknologi, pemrogram, penemu, pengembang, perangkat, lunak"
👨‍💻,👨‍💻,"ahli, teknologi, pria, komputer, laki-laki"
👩‍💻,👩‍💻,"ahli, teknologi, wanita, komputer, perempuan"
🧑‍🎤,🧑‍🎤,"penyanyi, aktor, bintang, penghibur, rock"
👨‍🎤,👨‍🎤,"penyanyi, pria, aktor, bintang, penghibur, rock"
👩‍🎤,👩‍🎤,"penyanyi, wanita, aktor, bintang, penghibur, rock"
🧑‍🎨,🧑‍🎨,"seniman, palet"
👨‍🎨,👨‍🎨,"seniman, pria, laki-laki, lukisan, seni"
👩‍🎨,👩‍🎨,"seniman, wanita, lukisan, perempuan, seni"
🧑‍✈️,🧑‍✈️,"pilot, pesawat"
👨‍✈️,👨‍✈️,"pilot, pria, laki-laki, pesawat"
👩‍✈️,👩‍✈️,"pilot, wanita, perempuan, pesawat"
🧑‍🚀,🧑‍🚀,"astronaut, roket"
👨‍🚀,👨‍🚀,"antariksawan, pria, angkasa, luar, laki-laki, roket"
👩‍🚀,👩‍🚀,"antariksawan, wanita, angkasa, luar, perempuan, roket"
🧑‍🚒,🧑‍🚒,"pemadam, kebakaran, truk"
👨‍🚒,👨‍🚒,"pemadam, kebakaran, pria, api, laki-laki"
👩‍🚒,👩‍🚒,"pemadam, kebakaran, wanita, api, perempuan"
👮,👮,"polisi, penegak, hukum"
👮‍♂️,👮‍♂️,"polisi, pria, laki-laki, penegak, hukum"
👮‍♀️,👮‍♀️,"polisi, wanita, penegak, hukum, perempuan"
🕵️,🕵️,"detektif, mata-mata"
🕵️‍♂️,🕵️‍♂️,"detektif, pria, laki-laki, penyelidikan, rahasia"
🕵️‍♀️,🕵️‍♀️,"detektif, wanita, penyelidikan, perempuan, rahasia"
💂,💂,"penjaga, pengawal"
💂‍♂️,💂‍♂️,"penjaga, pria, keamanan, laki-laki"
💂‍♀️,💂‍♀️,"penjaga, wanita, keamanan, perempuan"
🥷,🥷,"ninja, petarung, sembunyi-sembunyi, tersembunyi"
👷,👷,"pekerja, konstruksi, kontraktor, topi"
👷‍♂️,👷‍♂️,"pekerja, konstruksi, pria, kontraktor, laki-laki"
👷‍♀️,👷‍♀️,"pekerja, konstruksi, wanita, kontraktor"
🤴,🤴,pangeran
👸,👸,"putri, dongeng, fantasi, puteri"
👳,👳,"orang, mengenakan, serban, laki-laki, pria, surban"
👳‍♂️,👳‍♂️,"pria, mengenakan, serban, laki-laki"
👳‍♀️,👳‍♀️,"wanita, mengenakan, serban, perempuan"
👲,👲,"orang, dengan, topi, tionghoa, gua, pi, mao, pria"
🧕,🧕,"wanita, dengan, kerudung, hijab, mantilla, tichel"
🤵,🤵,"orang, bertuksedo, mempelai, pria, tuksedo"
🤵‍♂️,🤵‍♂️,"pria, dewasa, bertuksedo, tuksedo, tuxedo"
🤵‍♀️,🤵‍♀️,"wanita, bertuksedo, tuksedo"
👰,👰,"orang, berpenutup, kepala, cadar, mempelai, wanita, nikah, pengantin"
👰‍♂️,👰‍♂️,"pria, berpenutup, kepala, penutup"
👰‍♀️,👰‍♀️,"wanita, berpenutup, kepala, penutup"
🤰,🤰,"wanita, hamil, ibu, perempuan"
🤱,🤱,"menyusui, bayi, payudara"
👩‍🍼,👩‍🍼,"wanita, menyusui, bayi, mengasuh"
👨‍🍼,👨‍🍼,"pria, menyusui, bayi, mengasuh"
🧑‍🍼,🧑‍🍼,"orang, menyusui, bayi, mengasuh"
👼,👼,"malaikat, bayi, dongeng, fantasi, muka, wajah"
🎅,🎅,"sinterklas, dongeng, fantasi, natal, perayaan, santa"
🤶,🤶,"nyonya, sinterklas, ibu, nenek, oma"
🧑‍🎄,🧑‍🎄,"manusia, sinterklas, natal"
🦸,🦸,"pahlawan, super, baik, kekuatan, wanita"
🦸‍♂️,🦸‍♂️,"pahlawan, super, pria, baik, kekuatan"
🦸‍♀️,🦸‍♀️,"pahlawan, super, wanita, baik, kekuatan"
🦹,🦹,"penjahat, super, jahat, kekuatan, kriminal"
🦹‍♂️,🦹‍♂️,"penjahat, super, pria, jahat, kekuatan, kriminal"
🦹‍♀️,🦹‍♀️,"penjahat, super, wanita, jahat, kekuatan, kriminal"
🧙,🧙,"magi, penyihir, tukang, sihir"
🧙‍♂️,🧙‍♂️,"magi, pria, penyihir, tukang, sihir"
🧙‍♀️,🧙‍♀️,"magi, wanita, penyihir, tukang, sihir"
🧚,🧚,"peri, oberon, puck, titania"
🧚‍♂️,🧚‍♂️,"peri, pria, oberon, puck"
🧚‍♀️,🧚‍♀️,"peri, wanita, titania"
🧛,🧛,"vampir, drakula, mayat, hidup"
🧛‍♂️,🧛‍♂️,"vampir, pria, drakula, mayat, hidup"
🧛‍♀️,🧛‍♀️,"vampir, wanita, mayat, hidup"
🧜,🧜,"orang, duyung, pria, putri, wanita"
🧜‍♂️,🧜‍♂️,"pria, duyung, triton"
🧜‍♀️,🧜‍♀️,"putri, duyung, wanita"
🧝,🧝,"kurcaci, ajaib"
🧝‍♂️,🧝‍♂️,"kurcaci, pria, ajaib"
🧝‍♀️,🧝‍♀️,"kurcaci, wanita, ajaib"
🧞,🧞,jin
🧞‍♂️,🧞‍♂️,jin_pria
🧞‍♀️,🧞‍♀️,jin_wanita
🧟,🧟,"zombi, mayat, berjalan, hidup"
🧟‍♂️,🧟‍♂️,"zombi, pria, mayat, berjalan, hidup"
🧟‍♀️,🧟‍♀️,"zombi, wanita, mayat, berjalan, hidup"
💆,💆,"pria, dipijat, pijat, pijit, salon"
💆‍♂️,💆‍♂️,"pria, dipijat, kepalanya, kepala, laki-laki, pijat"
💆‍♀️,💆‍♀️,"wanita, dipijat, kepala, perempuan, pijat"
💇,💇,"orang, potong, rambut, cantik, salon"
💇‍♂️,💇‍♂️,"pria, potong, rambut, laki-laki"
💇‍♀️,💇‍♀️,"wanita, potong, rambut, perempuan"
🚶,🚶,"orang, berjalan, kaki, jalan"
🚶‍♂️,🚶‍♂️,"pria, berjalan, kaki, jalan, laki-laki"
🚶‍♀️,🚶‍♀️,"wanita, berjalan, kaki, jalan, perempuan"
🧍,🧍,"orang, berdiri, diri"
🧍‍♂️,🧍‍♂️,pria_berdiri
🧍‍♀️,🧍‍♀️,wanita_berdiri
🧎,🧎,"orang, berlutut, lutut"
🧎‍♂️,🧎‍♂️,pria_berlutut
🧎‍♀️,🧎‍♀️,wanita_berlutut
🧑‍🦯,🧑‍🦯,"orang, dengan, tongkat, aksesibilitas, buta"
👨‍🦯,👨‍🦯,"pria, dengan, tongkat, aksesiblitas, buta, tunanetra"
👩‍🦯,👩‍🦯,"wanita, dengan, tongkat, aksesiblitas, buta, tunanetra"
🧑‍🦼,🧑‍🦼,"orang, dengan, kursi, roda, bermotor, aksesibilitas"
👨‍🦼,👨‍🦼,"pria, dengan, kursi, roda, bermotor, aksesibilitas"
👩‍🦼,👩‍🦼,"wanita, dengan, kursi, roda, bermotor, aksesibilitas"
🧑‍🦽,🧑‍🦽,"orang, dengan, kursi, roda, manual, aksesibilitas"
👨‍🦽,👨‍🦽,"pria, dengan, kursi, roda, manual, aksesibilitas"
👩‍🦽,👩‍🦽,"wanita, dengan, kursi, roda, manual, aksesibilitas"
🏃,🏃,"orang, berlari, lari, marathon, maraton"
🏃‍♂️,🏃‍♂️,"pria, berlari, kaki, laki-laki, lari"
🏃‍♀️,🏃‍♀️,"wanita, berlari, kaki, lari, perempuan"
💃,💃,"wanita, menari, dansa, perempuan, pesta, tari"
🕺,🕺,"pria, menari, berdansa, dansa"
🕴️,🕴️,"pria, melayang, mengenakan, jas, bisnis, laki-laki"
👯,👯,"orang, dengan, telinga, kelinci, berpesta, penari"
👯‍♂️,👯‍♂️,"pria, dengan, telinga, kelinci, kostum, laki-laki, pesta, tari"
👯‍♀️,👯‍♀️,"wanita, dengan, telinga, kelinci, kostum, perempuan, pesta, tari"
🧖,🧖,"orang, di, ruangan, beruap, ruang, uap, sauna"
🧖‍♂️,🧖‍♂️,"pria, di, ruangan, beruap, ruang, uap, sauna"
🧖‍♀️,🧖‍♀️,"wanita, di, ruangan, beruap, ruang, uap, sauna"
🧗,🧗,"orang, memanjat, pemanjat"
