videoWebUrl,submittedVideoUrl,input,createTime,createTimeISO,text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,uniqueId,avatarThumbnail,mentions,detailedMentions
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764925978,2025-12-05T09:12:58.000Z,di indo doang presiden n wapres di hujat wkwk,143570,False,False,,453,7348661950966023173,an0ther.ngel,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0d9825a1d507b8ce4474552ea2337dde~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=efde816e&x-expires=1765274400&x-signature=BIjmGbCywDA%2FtelwHmI%2BRg5E0Rs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764933105,2025-12-05T11:11:45.000Z,gibran:,28255,False,False,,186,7232671917768803330,momoiieeeee,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8ea5c2e69fa1e9e12a44a31381126797~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7d780a78&x-expires=1765274400&x-signature=95v4y0afk5y6KkW%2FKgD%2B0BBRQcM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764922201,2025-12-05T08:10:01.000Z,wapres aja gak pakek rompi anti peluru,221646,False,False,,439,6968002027155932162,nama.saya111111111,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d2a68aeef9f81c5f32b199a13ba998c5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3eccd9c4&x-expires=1765274400&x-signature=pBC7fJqTBHu5RubueJHpHv9PuxM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764928295,2025-12-05T09:51:35.000Z,"ini emg harusnya ganti rakyat sih. bgnian emg bare minimum tp yg lain belum tentu bisa. HARGAIN AJA HARGAIN, KPN LO LIAT WAPRES SEAKTIF INI???",51392,False,False,,285,6874043506123637761,caprcgrl,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/665757e442f3444185a5c7115153b3e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b8bcb470&x-expires=1765274400&x-signature=%2B7rRIIct3A%2FHxlMFBvkOpPdDPyk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764922173,2025-12-05T08:09:33.000Z,"di X parah bett anjir komenannya, merinding langsung gw out gasanggup pak wapres dirujak abis😭",128298,False,False,,801,7117624082120918043,meloddyyyyyy_,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/f30bc65a0474d2ddef12e3d044ef8772~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4f457d7c&x-expires=1765274400&x-signature=LT5rlBjNSP4C6YYKrkCeVa2ZCkk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764927318,2025-12-05T09:35:18.000Z,"ada aksi nyata dihujat, ga ada aksinya juga di hujat",42496,False,False,,83,7126454350880211970,florrseul,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/6c6329b9e8328d2b84b3c304cd7ec5e7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1e95e014&x-expires=1765274400&x-signature=xo8QdrsAxkJuQEEzqSyLSEdyzOA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764934112,2025-12-05T11:28:32.000Z,"ganti wapres ❌
ganti rakyat ☑️",4130,False,False,,21,7136770569542829083,risman_gaming99,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/29c5e88f92518cd7c45983d351d4d378~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=30e4bdaa&x-expires=1765274400&x-signature=MfxmTHLIQY9mHuImqK7SbU%2Bko2E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764923225,2025-12-05T08:27:05.000Z,"knpa sih pemimpin yg bener di hujat ,,,emang bener harus ganti rakyat",37137,False,False,,182,7082415438316225538,uwaisalqarni1112,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/81205aa8c64acc8893562da2e781a742~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cc089877&x-expires=1765274400&x-signature=KtySYzs8MU4Ek6v9fZZyyJoLwKE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764930580,2025-12-05T10:29:40.000Z,emang indo harusnya ganti rakyat si,6471,False,False,,17,6864795465658090498,_whatuneedd,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/49077227bcc108197482b89927065d11~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=62dd3147&x-expires=1765274400&x-signature=PtoRvNhubAwMxyzl%2BzyMq%2FkyGSg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,https://www.tiktok.com/@antaranews/video/7580280925297184007,1764926348,2025-12-05T09:19:08.000Z,"sbnrnya ini bare minimum, cm krn jrg nemu pejabat yg begini jd agak gmn ya kek oh ada ya yg gini?. but makasi banyak pak gibran udh turun lapangan begini",80809,False,False,,135,6844807837047358466,areujingga,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9295b7ce7d2eaa96101ead6647d9e75b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f87269d1&x-expires=1765274400&x-signature=4vO%2F%2F2BxA1RAfG%2FLhsjJSQLCqnM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
